epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3970.06,0.84559,1.02355,1.24734,0.85599,0.71914,0.81782,0.67938,0.69138,0.7474,1.06397,0.0018814,0.0018814,0.0018814
60,4034.21,0.83319,1.02101,1.24233,0.859,0.72555,0.81706,0.68624,0.67749,0.73029,1.05146,0.00180572,0.00180572,0.00180572
61,4098.38,0.83245,1.00573,1.23039,0.85592,0.73048,0.83182,0.70056,0.65319,0.70678,1.03455,0.00173073,0.00173073,0.00173073
62,4166.58,0.81411,0.97523,1.22657,0.84533,0.71467,0.82318,0.68908,0.66252,0.72368,1.04751,0.0016565,0.0016565,0.0016565
63,4229.62,0.82981,0.99396,1.23887,0.83838,0.72836,0.82846,0.69256,0.65866,0.69656,1.04312,0.00158311,0.00158311,0.00158311
64,4292.78,0.85138,1.00992,1.24497,0.86713,0.73126,0.83398,0.70049,0.65338,0.68825,1.0346,0.00151062,0.00151062,0.00151062
65,4360.92,0.8222,0.94784,1.22564,0.86177,0.73581,0.82567,0.69091,0.66409,0.69176,1.03886,0.00143912,0.00143912,0.00143912
66,4424.25,0.84965,0.99336,1.25226,0.86226,0.72517,0.83873,0.7038,0.65436,0.67383,1.03213,0.00136866,0.00136866,0.00136866
67,4492.66,0.816,0.95316,1.22588,0.82039,0.76105,0.83987,0.69728,0.65762,0.6771,1.03503,0.00129932,0.00129932,0.00129932
68,4556.23,0.83765,0.9881,1.24361,0.90566,0.70712,0.84058,0.71231,0.63801,0.64732,1.0319,0.00123117,0.00123117,0.00123117
69,4620.73,0.80985,0.95927,1.22367,0.81518,0.78038,0.84127,0.71038,0.64056,0.67115,1.02781,0.00116427,0.00116427,0.00116427
70,4685.2,0.78957,0.91089,1.2146,0.87952,0.70944,0.84295,0.71588,0.62589,0.65763,1.0122,0.0010987,0.0010987,0.0010987
71,4748.83,0.79619,0.92189,1.2147,0.8339,0.74681,0.84672,0.71736,0.62514,0.64075,1.02041,0.00103451,0.00103451,0.00103451
72,4818.41,0.80033,0.90704,1.20184,0.89429,0.71798,0.84443,0.71637,0.62849,0.65547,1.00631,0.000971765,0.000971765,0.000971765
73,4882.19,0.78752,0.89713,1.20342,0.87498,0.74073,0.85699,0.71836,0.62631,0.62751,1.00985,0.000910534,0.000910534,0.000910534
74,4950.82,0.79061,0.9212,1.2084,0.82174,0.79793,0.85923,0.72427,0.60791,0.61891,1.00818,0.000850874,0.000850874,0.000850874
75,5020.63,0.77671,0.90832,1.21331,0.87675,0.74403,0.85963,0.72543,0.60918,0.61346,1.00256,0.000792844,0.000792844,0.000792844
76,5084.39,0.77637,0.89905,1.20004,0.8358,0.78183,0.85584,0.72465,0.61566,0.61311,1.00276,0.000736501,0.000736501,0.000736501
77,5147.93,0.77269,0.88703,1.20255,0.83148,0.79183,0.85825,0.72852,0.61878,0.6117,1.01414,0.000681901,0.000681901,0.000681901
78,5217.48,0.77411,0.88065,1.19468,0.86158,0.77075,0.8603,0.72807,0.61733,0.60134,1.01409,0.000629098,0.000629098,0.000629098
79,5280.89,0.77084,0.85677,1.19166,0.87594,0.77161,0.86713,0.73865,0.60046,0.59876,1.00207,0.000578143,0.000578143,0.000578143
80,5345.1,0.74898,0.87227,1.18292,0.8914,0.74894,0.8605,0.73596,0.61066,0.60003,1.00569,0.000529088,0.000529088,0.000529088
81,5408.55,0.75337,0.8594,1.18836,0.86639,0.78524,0.86604,0.73661,0.60967,0.59155,1.00807,0.00048198,0.00048198,0.00048198
82,5472.21,0.75225,0.83395,1.18342,0.90109,0.75091,0.86756,0.73931,0.60445,0.58853,1.00437,0.000436866,0.000436866,0.000436866
83,5541.12,0.74611,0.84346,1.18511,0.89596,0.76743,0.86816,0.73721,0.59597,0.58915,0.99834,0.000393791,0.000393791,0.000393791
84,5605.1,0.74264,0.82408,1.18292,0.84978,0.79756,0.87109,0.73865,0.5987,0.57842,0.99683,0.000352797,0.000352797,0.000352797
85,5669.9,0.76551,0.84812,1.19494,0.88448,0.77875,0.871,0.74148,0.59951,0.58273,0.99231,0.000313924,0.000313924,0.000313924
86,5738.89,0.73993,0.83493,1.18253,0.83428,0.81615,0.87208,0.74718,0.59459,0.57359,0.99325,0.000277211,0.000277211,0.000277211
87,5807.58,0.73848,0.82728,1.17752,0.86603,0.79942,0.87532,0.74717,0.59451,0.56443,0.99646,0.000242694,0.000242694,0.000242694
88,5877.06,0.74148,0.83834,1.18528,0.88981,0.7818,0.87411,0.74927,0.59097,0.5709,0.99309,0.000210408,0.000210408,0.000210408
89,5946.94,0.74132,0.81835,1.1815,0.88982,0.78729,0.87693,0.75114,0.58993,0.57275,0.98925,0.000180383,0.000180383,0.000180383
90,6011.05,0.74233,0.82771,1.18966,0.87711,0.78717,0.87833,0.75249,0.58837,0.56341,0.98933,0.00015265,0.00015265,0.00015265
91,6080.41,0.5592,0.61091,1.0239,0.90716,0.76383,0.87675,0.75038,0.58914,0.56444,0.99462,0.000127236,0.000127236,0.000127236
92,6145.22,0.54193,0.5819,1.01602,0.91076,0.76635,0.8769,0.75154,0.58925,0.56453,0.99267,0.000104167,0.000104167,0.000104167
93,6209.11,0.55208,0.5995,1.02542,0.90752,0.76903,0.87489,0.7497,0.58329,0.56329,0.99106,8.34636e-05,8.34636e-05,8.34636e-05
94,6272.97,0.5462,0.57993,1.02023,0.89071,0.78251,0.87573,0.75068,0.5809,0.56114,0.98958,6.51479e-05,6.51479e-05,6.51479e-05
95,6336.48,0.5433,0.57902,1.01271,0.90499,0.76724,0.87665,0.7532,0.58152,0.56049,0.98875,4.92376e-05,4.92376e-05,4.92376e-05
96,6403.8,0.53966,0.58185,1.01432,0.90386,0.76387,0.8775,0.75318,0.58024,0.56265,0.98873,3.57484e-05,3.57484e-05,3.57484e-05
97,6473.33,0.54519,0.57035,1.01656,0.88147,0.78696,0.87784,0.75249,0.5795,0.56076,0.98751,2.46935e-05,2.46935e-05,2.46935e-05
98,6536.93,0.53856,0.57106,1.01121,0.91494,0.75842,0.87737,0.75357,0.5796,0.56029,0.98785,1.6084e-05,1.6084e-05,1.6084e-05
99,6606.37,0.54348,0.58027,1.01839,0.90956,0.76586,0.87745,0.75336,0.57955,0.55906,0.98785,9.92825e-06,9.92825e-06,9.92825e-06
100,6670.38,0.53995,0.5751,1.00777,0.89638,0.76752,0.87664,0.75146,0.58066,0.55929,0.98855,6.23237e-06,6.23237e-06,6.23237e-06
